Bongardt,邦加特
Cheroutes,谢鲁茨
MacKeough,麦基奥
Chastain,查斯顿
Zagami,扎加米
Cadin,卡丹
Burkert,伯克特
Vereker,维里克
Walk,沃克
Hollers,霍勒斯
Duparcq,杜帕克
Stuebing,施蒂宾
Chiquita,奇吉塔
Vittum,维图姆
Jackalone,杰卡隆
Nevas,内瓦斯
Tillery,蒂勒里
Garbin,加宾
Lukeman,卢克曼
Jaquish,贾奎什
Lieberg,利伯格
Heaven,希文
Boerma,博尔马
Pauer,保尔
Breaux,布鲁
Aelmar,艾尔默
Blayney,布莱尼
Cara,卡拉
Merici,梅里西
Fussell,富塞尔
Gatschet,加切特
Mazo,梅佐
McGeoghegan,麦盖根
Ruan,鲁安
Heft,赫夫特
Ranck,兰克
Abeel,阿比尔
Bermingham,伯明翰
Heckel,赫克尔
Ffrangcon,弗兰肯
Euan,尤安
McGinty,麦金蒂
Carryer,卡里耶
Bastin,巴斯廷
Findeis,芬德斯
Nau,诺
Cholden,乔尔登
Brennan,布伦南
Baruch,巴鲁克
Mummey,马米
Padel,帕德尔
Carlee,卡莉
Lair,莱尔
Hamblin,汉布林
Ensinger,恩辛格
Bigelow,比奇洛
Loewen,洛温
Knous,诺斯
Massad,马萨德
Hayford,海福德
Madog,马多格
Omeara,奥米拉
Grossi,格罗西
Chant,钱特
Trout,特劳特
Thomlin,托姆林
Vandam,范达姆
Terras,特拉斯
Coler,科勒
Fagan,费根
Niksch,尼克施
Tunner,滕纳
Aldyne,奥丁
Greenman,格林曼
De Beer,德比尔
Finch,芬奇
Marburg,马伯格
Schwinn,施温
Wibel,威贝尔
Galenson,加伦森
Sime,赛姆
Kubacki,库巴基
Laud,劳德
Bowlin,鲍林
Wonderly,旺德利
Claus,克劳斯
Ombler,翁布勒
Claughry,克劳里
Loving,洛文
Tyreek,泰里克
Dessauer,德绍尔
Liberman,利伯曼
MacCart,麦卡特
Osolin,奥索林
Mozier,莫齐尔
Fadyean,法迪恩
Carwadine,卡沃丁
Trecker,特雷克
Joeckel,乔克尔
Monsen,蒙森
Lucan,卢肯
Sandum,桑德姆
Beaufait,博费特
Cofer,科弗
Armar,阿默
Dentan,登坦
Tone,托恩
Fannon,范农
Vaux,沃克斯
Meussner,穆斯纳
Zeman,泽曼
Hueg,休格
Soppet,索皮特
Braeme,布雷姆
Dierauf,迪劳夫
Dimont,戴蒙特
Sambourne,桑伯恩
Waggoner,瓦戈纳
Darton,达顿
Nolen,诺伦
Kindler,金德勒
Sloss,斯洛斯
Gerda,格尔达
Serio,塞里奥
Caute,科特
Magma,马格马
Heilig,海利希
Maccay,麦凯
Airy,艾里
Richert,里克特
Holleb,霍利布
Kea,基亚
Cadieux,卡迪厄
Heiser,海泽
Ralls,罗尔斯
Raterman,雷特曼
Adden,阿登
Banvard,班瓦德
Stillwell,史迪威
Reason,里森
Gussy,古西
Pletcher,普莱彻
Peroots,佩鲁茨
Rhode,罗德
Judi,朱迪
Daniel,丹尼尔
Lorain,洛兰
Featherson,费瑟森
Kellway,凯尔韦
Tirozzi,蒂罗齐
DeLuca,德卢卡
Cooper,库珀
Highby,海比
Mast,马斯特
Montean,蒙特安
Bolino,博利诺
Hahman,哈曼
Boldt,博尔特
Axinn,阿克辛
Spitzer,斯皮策
Kaleta,卡莱塔
Mouton,穆顿
Laging,莱金
Whateley,惠特利
Faloon,法隆
Kempson,肯普森
Fisk,菲斯克
Boag,博格
Nanor,纳诺
Sycip,赛西普
Sides,塞兹
Bilney,比尔尼
Bodecker,博德克
Wailes,韦尔斯
Town,汤
Brunning,布伦宁
Tagart,塔格特
Gaush,高希
Kennethson,肯尼森
Lennard,伦纳德
Mee,米
Irma,艾尔玛
Hearst,赫斯特
Poage,波格
Goerder,戈尔德
Prudhoe,普鲁杜
Beauvais,博韦
Goldis,戈迪斯
Bracy,布雷西
Ciochon,乔昆
Gallard,加勒德
Baloff,巴洛夫
Lohnes,洛内斯
Scawen,斯科恩
Roett,罗特
Lahne,莱恩
Garten,加滕
Bevir,贝维尔
Picard,皮卡德
Loammi,洛米
Cunnison,坎尼森
Reback,里巴克
Macandie,麦坎迪
Murnin,默宁
Belaugh,比拉
Caldow,卡尔多
Hoener,霍纳
Beasley,比斯利
Durant,杜兰特
Lovett,洛维特
Pagan,帕甘
Dall,多尔
Behrens,贝伦斯
Surina,苏里纳
Sayers,塞耶斯
Aveling,埃夫林
Pavey,佩维
Donworth,唐沃思
Edel,埃德尔
Mauny,莫尼
Minet,米内特
Rosser,罗瑟
Tyrek,泰雷克
Slay,斯莱
Kirkman,柯克曼
Guillon,吉隆
Nivert,尼弗特
Masserman,马瑟曼
Larf,拉尔夫
Praed,普雷德
Faust,福斯特
Chicester,奇斯特
Clacy,克拉西
Rootes,鲁茨
Schofer,舍弗
Kear,基尔
Tann,坦恩
Lesk,莱斯克
Borlaug,博洛格
Ginnane,金南
Newmyer,纽迈耶
Lead,利德
Schmeck,施梅克
Raws,罗斯
Foggie,福吉
Greenler,格林勒
Suttie,萨蒂
Case,凯斯
Scatt,斯卡特
Reger,雷格
Fache,法什
Lolvin,洛尔文
Lengerke,伦格克
Kulick,库利克
Cossu,科苏
Agar,阿加
Trook,特鲁克
Weddell,韦德尔
Duntze,丹茨
Poteat,波蒂特
Hawkins,霍金斯
Leibler,莱布勒
Mindus,明达斯
Digangi,迪甘吉
Meschke,梅施克
Munves,芒夫斯
Falkus,福克斯
Ehrmen,埃尔门
Murset,默西特
Gehron,格伦
Volle,沃尔
Lidoff,利多夫
Menardi,梅纳迪
Passero,帕塞罗
Boba,博巴
Flad,弗拉德
Terzian,特齐安
Goschen,戈申
Arrol,阿罗尔
Fortin,福廷
Borcherdt,博赫特
Rosann,罗桑
Jarratt,贾勒特
Jesso,杰索
Tschudy,楚迪
Magida,马吉达
Fertel,费特尔
Menzies,孟席斯
Covino,科维诺
Forgash,福加什
Whitear,惠蒂尔
Yahr,亚尔
Georgina,乔治娜
Heumann,休曼
Zuleta,朱利塔
Robeck,罗贝克
Cutten,卡滕
Berrey,贝里
Toot,图特
Robathan,罗巴森
Seager,西格
Caliban,卡利班
Auty,奥蒂
Silvan,西尔万
Aroni,阿罗尼
Magge,玛吉
Pawlet,波利特
Stoller,斯托勒
MacGowan,麦高恩
Gainey,盖尼
Yorath,约勒思
Enteman,恩特曼
Scuse,斯丘斯
Weisman,韦斯曼
Blas,布拉斯
Jammes,雅姆
Fauliso,福利索
Keag,基格
Adgie,阿吉
Phibbs,菲布斯
Barbota,芭博塔
Merchant,麦钱特
Port,波特
Musker,马斯克
Levitan,莱维坦
Gaunt,冈特
Gnat,纳特
Maggin,马金
Knode,诺德
Curran,柯伦
Phillida,菲莉达
Bamont,贝蒙特
Folts,福尔茨
Haeberle,黑伯利
Lamerton,拉默顿
Thesen,特森
Beacher,比彻
Coak,科克
Inman,英曼
Mahoney,马奥尼
Lininger,利宁格
Poulain,普兰
Bruett,布吕特
Philip,菲利普
Devit,德维特
Enneis,恩尼斯
Dorato,多拉托
Lucinda,露辛达
Sinkler,辛克勒
Kipping,基平
Sorini,索里尼
Hackam,哈克姆
Zechella,泽克拉
Aminta,阿明塔
Emden,埃姆登
Gailor,盖勒
Moston,莫斯顿
Tamsin,塔姆辛
Britt,布里特
Bricie,布里西
Cholette,乔利特
Codding,科丁
Wicklow,威克洛
Gillick,吉利克
Weintal,温特尔
Emely,埃米莉
Roselle,罗塞尔
Bushe,布希
Vuller,武勒
Oakes,奥克斯
Lucking,勒金
Berzin,伯津
Retee,雷蒂
Maagel,马格尔
Wace,韦斯
Fiennes,法因斯
Tad,塔德
Boorer,布勒
Freese,弗里兹
Tizarl,蒂泽尔
Ali,阿里
Schmidt,施密特
Mange,曼奇
Dunmore,邓莫尔
Bukzin,布克津
Gullo,古洛
Causer,考泽
Nash,纳什
Halas,哈拉斯
Worthington,沃辛顿
Easley,伊斯利
Umminger,乌明格
O'Shagar,奥沙格
Ardwin,阿德温
Daysh,戴什
Pillal,皮拉尔
Lefeuver,勒菲弗
Brayton,布雷顿
Rao,拉奥
Reecher,里彻
Anese,安妮斯
Clatchy,克拉奇
Kobbe,科贝
Riesel,里塞尔
Gwily,格威利
Eubank,尤班克
Albertson,艾伯森
Burtess,伯蒂斯
Brade,布雷德
Sames,塞姆斯
Sacco,萨科
Bobrow,博布罗
Creagan,克里根
Motyer,默蒂耶
Mallock,马洛克
Ripple,里普尔
Baehr,贝尔
Grau,格劳
Nealy,尼利
Gaisler,盖斯勒
Imbault,安博
Auken,奥肯
Balcer,巴尔塞
Reherd,里赫德
Meinig,迈尼希
Pfautz,普福茨
Susaia,苏赛亚
Pach,帕克
Solyman,索利曼
Jethro,杰思罗
Kutish,库蒂什
Cadden,卡登
Steffee,斯特菲
Schleiter,施莱特
Erbynn,厄尔宾
Cappeart,卡珀特
Kalleck,卡莱克
Kahlert,卡勒特
Pain,佩因
Jefford,杰福德
Hottel,霍特尔
Wichelo,威彻洛
Andi,安迪
Farwell,法韦尔
Dorrance,多兰斯
Millais,米莱
Collishaw,科利肖
Gussett,格西特
Loomis,卢米斯
Timon,蒂蒙
Raylene,雷琳
Bogard,博加德
Hobbins,霍宾斯
Bigland,比格兰
Yallowley,亚洛利
Bather,巴瑟
Hick,希克
Leventon,利文顿
Birdseye,伯宰
Stough,斯托
Berg,伯格
Chargaff,查加夫
Daum,多姆
Hotung,霍通
Hiler,希勒
Mealey,米利
Ormesher,奥姆舍
Mirza,米尔扎
Knot,诺特
Bugliosi,布廖西
Paup,波普
Gavett,加维特
Airington,艾林顿
Azzato,阿扎托
Sebele,塞贝尔
Heaf,希夫
Groat,格罗特
Maison,梅森
Gartlan,加特兰
Cleary,克利里
Voles,沃尔斯
Legon,莱贡
McAughton,麦考顿
Ashlee,阿什莉
Whyman,怀曼
Offerman,奥弗曼
Magnin,马格宁
Warburton,沃伯顿
Agas,阿加丝
Canaan,卡南
Witting,威廷
Carmin,卡明
Surin,苏林
Dickon,迪康
Legro,勒格罗
Biggers,比格斯
MacAllan,麦卡伦
Philipsburg,菲利普
Ponta,蓬塔德
PRAIA,普拉亚
Jebel,杰贝尔
Khor,豪尔费
Mina,沙奎
Ambrizete,安布里
Benguela,本格拉
Cabinda,卡宾达
Lobito,洛比托
Bahia,布兰卡
Lorenzo,圣洛伦
Nicolas,圣尼古
Pedro,圣佩德
Sebastian,圣塞瓦
Santa,圣克鲁
SantaFe,圣菲
Ushuaia,乌斯怀
Villa,孔斯蒂
Zarate,萨拉特
Cape,拉姆贝
Carnarvon,卡那封
Zeebrugge,泽布品
Bulgaria,保加利
Balchik,巴尔奇
Bourgas,布加斯
Santos,桑托斯
CookIslands,库克群
Arutunga,阿鲁通
Rarotonga,拉罗通
Ancud,安库德
Antofagasta,安托法
Arica,阿里卡
Cabo,卡博内
Caldera,卡尔拉
Calderilla,卡尔里
Clarencia,克拉伦
Patillos,帕蒂略
Castro,卡斯特
Chacabuco,查卡布
Chanaral,查尼亚
Coquimbo,科金博
Coronel,科罗内
Corral,科拉尔
CruzGrande,克鲁斯
Gregorio,格雷戈
Guayacan,瓜亚坎
Huasco,瓦斯科
Iquique,伊基克
Serena,拉塞雷
Lirquen,利尔奎
Lota,洛塔
Meijilones,梅希约
Penco,彭科
Bories,博里奥
Montt,蒙特
Natales,纳塔莱
Quellon,克永
Quemchi,克姆奇
Punta,阿雷纳
Quintero,坤脱罗
Antonio,圣安东
Vicente,圣文森
Talcahuano,塔尔卡
Taltal,塔尔塔
Tocopilla,托科皮
Tome,托梅
valdivia,瓦尔迪
Valparaiso,瓦尔帕
Cameroon,喀麦隆
Douala,杜阿拉
Kribi,克里比
Tiko,提科
Victoria,维多利
Colombia,哥伦比
Barranquilla,巴兰基
Buenaventura,布韦那
Cartagena,卡塔赫
Covenas,科韦尼
Pozos,波佐科
Puerto,哥伦亚
Hacha,里奥查
Marta,圣玛尔
Tumaco,图马科
Tumaco,图尔博
CostaRica,哥斯达
Caldera,卡尔德
Golfito,戈尔菲
Limon,利蒙
Puntarenas,彭塔雷
Quepos,克波斯
Cuba,古巴
Antilla,安蒂亚
Honda,翁达
Banes,巴内斯
Baracoa,巴拉科
Grande,博卡格
Boqueron,博克龙
Cabanas,卡瓦尼
Caibarien,凯巴连
Caimanera,凯马勒
Cardenas,卡德纳
Casilda,卡西尔
Hueca,塞巴胡
Cienfuegos,西恩富
Felton,费尔顿
Guayabal,瓜亚瓦
Havana,哈瓦那
Isabela,伊萨贝
Jucaro,胡卡罗
Manati,马纳蒂
Manopla,马诺普
Manzanillo,曼萨尼
Mariel,马里矣
Matanzas,马坦萨
Luna,梅迪亚
Moa,莫阿
Nicaro,尼卡罗
Niquero,尼克罗
Gerona,赫罗纳
Nuevitas,努埃维
Alto,帕洛阿
Pastelillo,帕斯特
Pilon,皮隆
Preston,普雷斯
Padre,帕德雷
Tarafa,塔拉法
Grande,大萨瓜
Cruz,克鲁斯
Lucia,圣卡西
Santiago,圣地亚
Tanamo,塔纳莫
Tunas,图纳斯
Vita,维塔
CapeVerde,佛得角
Palmeira,帕尔梅
Grande,格兰德
Praia,普拉亚
Cyprus,塞浦路
Akrotiri,阿克罗
Dikhelia,泽凯利
Famagusta,法马古
Karavostassi,卡拉沃
Kyrenia,凯里尼
Larnaca,拉纳卡
Latchi,腊基
Limassol,利马索
Anchorage,莫尼安
Morphou,莫尔富
Paphos,佩福斯
Vassiliko,瓦西利
Rostock,罗斯
Stralsund,斯特拉
Warnemunde,瓦尔内
Wismar,维斯马
Altona,阿尔托
Bonn,波恩
Brake,布腊克
Bremen,来梅
Bremerhaven,不来梅
Bunsbuttel,布龙斯
Butzfleth,比茨费
Coblenz,科布伦
Cologne,科隆
Cuxhaven,库克斯
Duisburg,杜伊斯
Dusseldorf,杜塞尔
Eckernforde,埃肯弗
Elsfleth,埃尔斯
Emden,埃姆登
Flensburg,弗伦斯
Frankfurt,法兰克
Gluckstadt,格吕克
Hamburg,汉堡
Heiligenhafen,海利根
Holtenau,霍尔特
Husum,胡苏姆
Itzehoe,伊策霍
Kappeln,卡珀尔
Kiel,基尔
Krefeld,克雷菲
Labo,拉伯
Leer,累尔
Lubeck,卢卑克
Ludwigshafen,路德维
Mainz,美因茨
Mannheim,曼海姆
Neuhaus,诺伊豪
Neuss,诺伊斯
Neustadt,诺伊施
Nordenham,诺登哈
Orth,奥尔特
Papenburg,帕彭堡
Rendsburg,伦茨堡
Schulau,许劳
Shcwarzenhutten,施瓦芩
Stade,施塔德
Stadersand,施塔德
Tonning,滕宁
Travemunde,特罗弗
Vegesack,弗格萨
Wilhelmsburg,威廉斯
Wilhelmshaven,威廉
Djibouti,吉布提
Aabenraa,奥本罗
Aalborg,奥尔
Aarhus,奥尔胡
Aeroskobing,埃勒斯
Allinge,阿灵厄
Assens,阿森斯
Bandholm,班霍尔
Bogense,博恩瑟
Copenhagen,哥本哈
Ebeltoft,埃伯尔
Elsinore,埃尔西
Esbjerg,埃斯比
Faaborg,福堡
Ladeplads,普拉斯
Fredericia,烈西亚
Frederikshavn,腓特烈
Frederikssund,腓特烈
Frederiksvark,斯韦克
Grasten,格罗斯
Grenaa,格雷诺
Gulfhavn,基尔夫
Haderslev,哈泽斯
Hadsund,海松
Hasle,海斯勒
Hirtshals,希茨海
Hobro,霍布罗
Holbaek,霍尔克
Horsens,霍森斯
Kalundborg,凯隆堡
Karrebaeksminde,卡勒拜
Kerteminde,凯特明
Koge,克厄
Kolding,科灵
Korsor,科瑟
Kyndby,金比
Lemvig,莱姆维
Lyngs,林斯奥
Mariager,玛丽艾
Marstal,马斯塔
Masnedsund,马斯讷
Middelfart,米泽尔
Naestved,奈斯特
Nakskov,纳克斯
Nekso,内克瑟
Norresundby,诺勒松
Nyborg,尼堡
Nykobing,尼克宾
Odense,欧登塞
Orehoved,奥勒霍
Randers,兰讷斯
Rodbyhavn,勒兹比
Rodvig,勒兹维
Ronne,伦讷
Rudkobing,鲁兹克
Sakskobing,萨克斯
Skaelskor,斯凯尔
Skaerbaek,斯凯拜
Skagen,斯卡恩
Skive,斯基沃
Sonderborg,桑讷堡
Stege,斯泰厄
Struer,斯楚厄
Stubbekobing,斯图德
Stvaneke,斯瓦讷
Svendborg,斯文堡
Tisted,提斯特
Tuborg,图堡
Vejle,瓦埃勒
Vordingborg,沃尔丁
Dominica,多米尼
Portsmouth,朴次茅
Roseau,罗索
Azua,阿苏阿
Barahona,巴拉奥
Boca,博卡奇
Rojo,卡活罗
Romana,拉罗马
Manzanillo,曼萨尼
Palenque,帕伦克
Plata,普拉塔
Haina,海纳
Samana,萨马纳
Pedro,圣佩得
Sanchez,桑切斯
Domingo,圣多明
Algeria,阿尔及
Annaba,安纳巴
Arziw,阿尔泽
Bejaia,贝贾亚
Benisaf,贝尼萨
Cherchell,舍尔沙
Collo,科洛
Dellys,代利斯
Djazair,贾扎伊
Ghazawet,加扎韦
Jijel,吉杰利
Mestghanem,莫斯塔
Skikda,斯基克
Tenes,提奈斯
Wahran,瓦赫兰
Ecuador,厄瓜多
Caraguez,卡拉克
Terminal,米拉尔
Esmeraldas,埃斯梅
Guayaquil,瓜亚基
Libertad,拉利伯
Manta,曼塔
Bolivar,玻利瓦
Salinas,萨利纳
Lorenzo,圣洛伦
Zenima,阿布宰
Adabiya,阿代比
Sukhna,艾因苏
Alexandria,亚历山
Damietta,杜姆亚
Kosseir,库赛尔
Hamra,哈姆拉港
Matruh,马特鲁
Ibrahim,易卜拉
Said,塞得
Tewfik,陶菲克
Gharib,拉斯加
Shukheir,喇斯舒
Safaga,萨法贾
Salum,塞卢姆
Kerir,西迪基
Suez,苏伊士
Feiran,瓦迪
Sahara,西撒
Dakhla,达赫拉
Laayoune,欧云
Adra,阿德拉
Aguilas,阿吉拉
Alcudia,阿尔库
Algeciras,阿尔赫
Alicante,阿利坎
Almeria,阿尔梅
Aviles,阿维莱
Barcelona,巴塞罗
Bilbao,毕尔巴
Blanes,布拉内
Burela,布雷拉
Burriana,布里亚
Cadiz,加的斯
Finistrerre,菲力斯
Cartagena,卡塔赫
Castellon,卡斯特
Urdiales,乌迪亚
Cilero,锡列罗
Corcubion,科尔库
Corunna,科伦纳
Denia,德尼亚
Harbour,埃斯孔
Ferrol,费罗尔
Gandia,刚迪亚
Garrucha,加鲁查
Gijon,希洪
Huelva,韦尔瓦
Ibiza,伊维萨
Javea,哈韦阿
Calera,拉卡莱
Luarca,卢阿尔
Mahon,马翁
Malaga,马拉加
Marin,马林
Mazarron,马萨龙
Motril,莫特里
Muros,穆罗斯
Palamos,帕拉莫
Palma,帕尔马
Pasajes,帕萨赫
Portugalete,波图加
Saltacaballo,萨尔塔
Ribadeo,里瓦德
Ribadesella,里瓦德
Rosas,罗萨斯
Rota,罗塔
Sagunto,萨贡托
Carlos,圣卡洛
Ciprian,圣西普
Esteban,圣埃斯
Feliu,圣费里
Fernando,圣费尔
Sebastian,圣塞瓦
Santander,桑坦德
Seville,塞维利
Soller,索列尔
Tarragona,塔拉戈
Torrevieja,托雷维
Valencia,巴伦西
Vigo,维哥
Villagarcia,维利亚
Vivero,比韦罗
Assab,阿萨布
Massawa,马萨瓦
Barosund,巴罗生
Degerby,代格比
Hamina,哈米纳
Hanko,汉科
Helsinki,赫尔辛
Inkoo,因科
Isnas,伊斯奈
Kaskinen,卡斯基
Kemi,凯米
Kokkola,科科拉
Kotka,科特卡
Koverhar,科维尔
Kristiina,克里斯
Lapaluoto,拉柏罗
Loviisa,洛维萨
Mantyluoto,曼蒂卢
Mariehamn,玛丽港
Merikarvia,梅里卡
Naantali,楠塔利
Nystad,尼斯塔
Oulu,奥鲁
Pargas,柏尔加
Pateniemi,帕特尼
Pietarsaari,皮耶塔
Pori,波里
Porkkala,波卡拉
Porvoo,波尔沃
Raahe,拉赫
Rauma,劳马
Reposaari,雷波萨
Canal,塞马
Skuru,斯库卢
Tammisaari,塔米萨
Toikis,托基斯
Toppila,托比拉
Tornio,托尔尼
Turku,图尔库
Uusikaupunki,新考蓬
Vaasa,瓦萨
Vaskiluoto,瓦斯克
Veitsiluoto,卫特
Walkom,瓦尔卡
Ykspihlaja,伊克斯
Fiji,斐济
Ellington,埃灵顿
Lambasa,兰巴萨
Lautoka,劳托卡
Levuka,累武卡
Savusavu,萨武萨
Suva,苏瓦
Vatia,瓦提亚
Falkland,福克兰
Stanley,斯坦斯
Faeroe,法罗
Klaksvig,克拉克
Thorshavn,托尔斯
Trangisvaag,特朗斯
Tvoroyri,特瓦罗
Vaag,瓦格
Vestmanhavn,韦斯特
Abbeville,阿布维
Ajaccio,阿维克
Antibes,昂蒂布
Antifer,昂蒂弗
Arcachon,阿尔卡
Bassens,巴森
Bastia,巴斯蒂
Bayonne,巴约讷
Ambes,贝克德
Blaye,布莱
Bonifacio,博尼法
Bordeaux,波尔多
Boulogne,布洛涅
Brest,布雷斯
Caen,冈昂
Calais,加来
Calvi,卡尔维
Cammaret,卡马雷
Cancale,康卜勒
Caronte,卡隆特
Cherbourg,瑟堡
Concarneau,孔卡尔
Dahouet,达乌埃
Deauville,多维尔
Dieppe,迪耶普
Donges,栋日
Douamenez,杜阿梅
Dunkirk,敦刻尔
Etaples,埃塔普
Fecamp,费康
Fos,福斯
Gonfreville,贡夫勒
Granville,格兰维
Gravelines,格拉沃
Havre,阿弗尔
Honfleur,翁弗勒
Rousse,伊尔鲁
Ciotat,拉西约
Nouvelle,拉努韦
Pallice,拉帕利
Rochelle,拉罗谢
Landerneau,朗代诺
Lavera,拉瓦拉
Chateau,奥来龙
Guido,勒吉尔
Libourne,利布尔
Loctudy,洛克蒂
Lorient,洛里昂
Marans,马朗
Marseilles,马赛
Martigues,马蒂格
Montoir,蒙托伊
Morlaix,莫尔莱
Nantes,南特
Nice,尼斯
Ouistreham,乌伊斯
Paimboeuf,潘伯夫
Paimpol,潘波勒
Paris,帕里斯
Pauillac,波亚克
Abbe,彭拉贝
de,布克港
Jerome,杰罗姆
Vendres,旺德尔
Vecchio,韦基奥
Propriano,普罗普
Quimper,坎佩尔
Rochefort,罗什福
Roscoff,罗斯科
Rouen,鲁昂
Sables,萨布勒
Sete,塞特
St.Brieuc,圣布里
Luz,圣让德
Rhone,圣路易
St.Malo,圣马洛
St.Nazaire,圣纳泽
St.Servan,圣塞尔
Caux,圣瓦勒
Somme,圣瓦莱
Strasbourg,斯特拉
Charente,托内沙
Toulon,土伦
Treguier,特雷吉
Treport,特雷波
Trouville,特鲁维
Verdon,韦尔东
Gabon,加蓬
Lopcz,洛佩斯
Gamba,甘巴
Libreville,利伯维
Terminal,卢西纳
Owendo,奥文多
Gentil,谦蒂尔
Aberdeen,阿伯丁
Aberdour,阿伯道
Aberdovery,阿伯多
Aberystwyth,阿伯里
Alderney,奥尔德
Amlwch,阿姆卢
Annalong,安纳隆
Annan,安嫩
Anstruther,安斯特
Appledore,阿普尔
Arbroath,阿布罗
Ardglass,阿德格
Ardrishaig,阿德里
Ardrossan,阿德罗
Avonmouth,埃文茅
Ayr,艾尔
Bangor,班戈
Bangor,班戈
Barmouth,巴茅思
Barnstaple,巴恩斯
Barrow,巴罗
Barry,巴里
Barton,巴顿
Beaumaris,博马里
Beliast,贝尔法
Berwick,伯威克
Bideford,比迪福
Birkenhead,伯肯黑
Blyth,布莱斯
Boston,波土顿
Bridgwater,布里奇
Bridlington,布里德
Bridport,波特
Brightlingsea,布赖特
Brighton,布赖顿
Bristol,布里斯
Brixham,布里克
Bromborough,布朗巴
Buckie,巴基
Burghead,伯格黑
Burntisland,本泰兰
Caernarfon,卡那封
Campbeltown,坎贝尔
Cardiff,加的夫
Carrickfergus,卡里克
Castletown,卡斯尔
Charlestown,查尔斯
Charlestown,查尔斯
Colchester,科尔切
Coleraine,科尔雷
Quay,康纳斯
Corpach,科珀赫
Cowes,考斯
Cromarty,克罗默
Dartmouth,达特茅
Dingwall,丁沃尔
Douglas,道格拉
Dover,多佛
dumfries,邓弗里
Dunbar,邓巴
Dundee,邓迪
Dundrum,邓德拉
Ellesmere,埃尔斯
Exeter,埃克塞
Exmouth,埃克斯
Eyemouth,艾茅斯
Falmouth,法尔茅
Fawley,福利
Felixstowe,弗利克
Finnart,芬纳特
Fishguard,菲什加
Fleetwood,弗利特
Folkestone,福克斯
Fowey,福伊
Fraserburgh,弗雷泽
Gainshborough,盖恩斯
Garlieston,加利斯
Garston,加斯顿
Girvan,格文
Glasgow,格拉斯
Glenarm,格莱纳
Gloucester,格洛斯
Goole,古尔
Gourock,古罗克
Grangemouth,格兰奇
Gravesend,格雷夫
Yarmouth,雅茅斯
Greenock,格里诺
Grimsby,格里姆
Wharf,冈纳斯
Hartlepool,哈特尔
